"Node","rank","academic.birth","all.publications","var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up"
55992,1831,2010,97,32.3,144.5,8.81818181818182,6.27272727272727,128,420.5,24.5,0.270486771234376,0,0.5,0,24.9166666666667,144.5,28,18
117079,1832,2010,134,150.2,8,12.1818181818182,12.0909090909091,180.5,144.5,0,0.276653780657006,0,0,0,52.3333333333333,840.5,2,1250
176182,1833,2010,92,166.3,200,8.36363636363636,6.09090909090909,112.5,98,0,0.365319364915991,0,0,200,22.3333333333333,0,144.5,612.5
16493,1834,2010,84,1033.2,450,7.63636363636364,28.4545454545455,10512.5,12.5,0,0.447290285566135,0,0,0,28.25,0,144.5,0
15683,1835,2010,68,129.7,8,6.18181818181818,8.27272727272727,264.5,220.5,60.5,0.347964679919587,0,420.5,2,9,18,4.5,8
141412,1836,2010,63,42,40.5,5.72727272727273,5.72727272727273,220.5,420.5,0.5,0.314715770833108,0,50,200,7.8,72,25,50
46766,1837,2012,132,78,338,14.6666666666667,6.66666666666667,0,0,0,0.477788090164511,1.77730857810003,0,0,84,840.5,112.5,0
28970,1838,2010,51,64.8,480.5,4.63636363636364,8.54545454545454,760.5,40.5,24.5,0.444108064822253,0,12.5,24.5,3,4.5,8.33333333333333,82.3333333333333
224091,1839,2011,59,68.3,2,5.9,5.1,2,420.5,480.5,0.26473483088431,0,338,98,34.9166666666667,18,41.3333333333333,24.5
487970,1840,2010,62,14.3,24.5,5.63636363636364,6.27272727272727,24.5,98,392,0.366410686656948,0,180.5,32,22,84.5,30.3333333333333,72.3333333333333
240579,1841,2010,54,512.3,684.5,4.90909090909091,7.09090909090909,882,72,0,0.273312601961818,0,0,24.5,18,72,25.3333333333333,1624.5
7646,1842,2010,76,457.2,312.5,6.90909090909091,6.18181818181818,180.5,180.5,0,0.255030746163759,0,0,12.5,20.3333333333333,18,60.5,968
80248,1843,2010,76,227.7,112.5,6.90909090909091,9.09090909090909,0.5,264.5,1458,0.322755900714033,0,0,2,14.9166666666667,72,2,72
