"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
3362,2075,3298,2229,3149,3017,363,1890,4225,4225,924,2578,1471,2211,834,"102"
634,243,1608,1834,300,584,4225,1003,4225,4225,4225,315,4225,4225,4225,"103"
737,2157,3613,970,1764,2391,363,3673,4225,183,4225,3848,4225,1280,2572,"104"
1849,1740,4225,1361,1633,2391,1325,4182,4225,1501,1828,2387,1171,2910,1873,"105"
1640,587,701,563,1120,2501,4225,1493,4225,4225,4225,2830,100,143,205,"106"
1959,1675,1753,662,333,3323,4225,3349,4225,4225,4225,3955,4225,1125,356,"107"
722,848,4017,3124,455,2620,4225,2612,4225,4225,1511,1493,4225,1280,276,"108"
1173,956,3216,1727,1836,2391,4225,3928,4225,4225,1665,1891,1702,3791,792,"109"
1587,1037,514,194,2471,1338,38,3706,4225,159,681,719,2820,1777,371,"110"
36,28,729,241,66,2501,4225,2827,4225,4225,4225,278,4225,259,13,"111"
3913,2834,3072,1801,4225,4225,4225,1252,4225,791,4225,4016,1922,3481,2786,"112"
766,483,887,1051,915,3169,4225,2592,4225,4225,154,1157,526,542,4225,"113"
41,1884,2319,109,2471,2141,15,1970,4225,15,4225,700,4225,4225,3224,"114"
586,676,3298,2934,670,2873,4225,3793,4225,4225,4225,4016,4225,1280,258,"115"
776,2395,1957,907,367,316,404,3414,868,1099,468,3264,2173,810,926,"116"
1275,2266,1888,1193,1908,1926,4225,1926,4225,4225,4225,285,4225,4225,342,"117"
34,12,24,31,5,6,3,2327,520,4,7,81,2,19,207,"118"
1063,646,84,226,289,47,726,2978,63,995,118,239,38,347,1802,"119"
2237,3195,187,421,4225,1407,41,571,651,48,96,406,122,423,342,"120"
2893,3546,1509,1506,2560,1120,579,3701,4225,4225,2469,3086,2536,3364,1114,"121"
2811,2490,3819,2283,2896,2391,525,2634,4225,791,1665,3132,2173,3364,1579,"122"
731,425,1227,1956,816,2141,4225,3686,4225,4225,4225,245,4225,211,4225,"123"
